"plot_id","group_id","species","dbh_class_index","basal_cm2"
LtoL-016_2,ligustrum_vulgare_LtoL-016_2,Ligustrum vulgare,0,0.196300000000000000000000
"1195_2",acer_saccharum_1195_2,Acer saccharum,2,2.40500000000000000000000
"1224_1","1224_1st",Magnolia acuminata,2,2.40500000000000000000000
Large-124_1,cornus_racemosa_Large-124_1,Cornus racemosa,0,0.196300000000000000000000
"1190_1","1190_1st",Fraxinus pennsylvanica,6,481.000000000000000000000
"1159_1","1159_1st",Acer saccharum,7,397.600000000000000000000
VIBI56_1,fraxinus_pennsylvanica_VIBI56_1,Fraxinus pennsylvanica,2,2.40500000000000000000000
"1237_2",carya_cordiformis_1237_2,Carya cordiformis,9,830.00000000000000000000
"1030_1","1030_1st",Acer nigrum,4,353.4400000000000000000000
"1194_2",ulmus_americana_1194_2,Ulmus americana,2,12.02500000000000000000000
"3652_1","3652_1st",Rubus sp.,0,0.981500000000000000000000
"1258_1","1258_1st",Fagus grandifolia,4,176.7200000000000000000000
X-Large-014_1,standing_dead_X-Large-014_1,Standing dead,2,2.40500000000000000000000
"4235 A_11",prunus_serotina_4235 A_11,Prunus serotina,10,1104.00000000000000000000
"3390_2",elaeagnus_umbellata_3390_2,Elaeagnus umbellata,0,0.392600000000000000000000
"1231_2",fagus_grandifolia_1231_2,Fagus grandifolia,4,44.1800000000000000000000
"1279_3",acer_negundo_1279_3,Acer negundo,2,14.43000000000000000000000
"1156_1","1156_1st",Platanus occidentalis,8,594.00000000000000000000
"4235_11",standing_dead_4235_11,Standing dead,11,4399.04652911564
"1011_2","1011_2nd",Standing dead,4,44.1800000000000000000000
"1229_1","1229_1st",Acer rubrum,2,7.21500000000000000000000
"1277_1","1277_1st",Acer rubrum,4,530.1600000000000000000000
X-Large-16_1,carpinus_caroliniana_X-Large-16_1,Carpinus caroliniana,4,44.1800000000000000000000
"3499_1","3499_1st",Standing dead,4,220.9000000000000000000000
"1359_1","1359_1st",Rhamnus frangula,0,0.196300000000000000000000
"1287_1","1287_1st",Acer saccharum,2,7.21500000000000000000000
"1076_3",lindera_benzoin_1076_3,Lindera benzoin,0,4.514900000000000000000000
"1174_3",acer_saccharum_1174_3,Acer saccharum,3,33.1200000000000000000000
VIBI83_1,liriodendron_tulipifera_VIBI83_1,Liriodendron tulipifera,7,795.200000000000000000000
"1019_1","1019_1st",Acer rubrum,7,795.200000000000000000000
VIBI63_1,ulmus_rubra_VIBI63_1,Ulmus rubra,3,143.5200000000000000000000
"1178_3",acer_rubrum_1178_3,Acer rubrum,12,3959.19214168654
"1151_3",ulmus_americana_1151_3,Ulmus americana,6,240.500000000000000000000
"1341_2",acer_nigrum_1341_2,Acer nigrum,5,368.100000000000000000000
VIBI79_1,standing_dead_VIBI79_1,Standing dead,6,240.500000000000000000000
"1377_1","1377_1st",Fraxinus pennsylvanica,2,2.40500000000000000000000
"3385_1","3385_1st",Quercus rubra,6,481.000000000000000000000
LtoL-036_2,acer_saccharum_LtoL-036_2,Acer saccharum,3,33.120000000000000000
"1080_1","1080_1st",Toxicodendron radicans,4,44.1800000000000000000000
"1222_2",standing_dead_1222_2,Standing dead,0,0.196300000000000000000000
"1012_3",acer_rubrum_1012_3,Acer rubrum,5,245.400000000000000000000
Large-086_1,standing_dead_Large-086_1,Standing dead,3,55.2000000000000000000000
X-Large-003_1,fraxinus_sp.1_X-Large-003_1,Fraxinus sp.,2,2.40500000000000000000000
"1371_2",amelanchier_sp.1_1371_2,Amelanchier sp.,2,2.40500000000000000000000
VIBI85_1,vitis_riparia_VIBI85_1,Vitis riparia,3,33.120000000000000000
"3392_1","3392_1st",Standing dead,5,368.100000000000000000000
"1372_1","1372_1st",Parthenocissus quinquefolia,1,0.39260000000000000000
"1359_1","1359_1st",Cornus sp.,2,4.8100000000000000000
"1014_3",ulmus_americana_1014_3,Ulmus americana,5,245.400000000000000000000
"1060_1","1060_1st",Acer saccharum,6,240.500000000000000000000
"1151_3",carya_cordiformis_1151_3,Carya cordiformis,9,830.00000000000000000000
"1340_2",fagus_grandifolia_1340_2,Fagus grandifolia,3,11.0400000000000000000000
"1324_1","1324_1st",Vitis labrusca,1,0.196300000000000000000000
"1059_1","1059_1st",Standing dead,1,2.159300000000000000000000
"1328_2",crataegus_sp.1_1328_2,Crataegus sp.,1,0.196300000000000000000000
Large-127_1,celastrus_orbiculatus_Large-127_1,Celastrus orbiculatus,1,7.45940000000000000000
"1082_1","1082_1st",Standing dead,2,14.43000000000000000000000
"1352_1","1352_1st",Prunus serotina,4,44.1800000000000000000000
"1019_3",ostrya_virginiana_1019_3,Ostrya virginiana,4,132.5400000000000000000000
"3465_2",parthenocissus_quinquefolia_3465_2,Parthenocissus quinquefolia,1,3.533400000000000000000000
"1326_2",toxicodendron_radicans_1326_2,Toxicodendron radicans,3,11.0400000000000000000000
Large-063_1,acer_rubrum_Large-063_1,Acer rubrum,11,3472.96784669045
VIBI56_1,quercus_palustris_VIBI56_1,Quercus palustris,11,12571.29506084367
Large-015_1,acer_rubrum_Large-015_1,Acer rubrum,11,2959.96147432250
"1013_2","1013_2nd",Ulmus americana,4,44.1800000000000000000000
"1189_3",frangula_alnus_1189_3,Frangula alnus,0,0.196300000000000000000000
X-Large-38_1,acer_rubrum_X-Large-38_1,Acer rubrum,8,594.00000000000000000000
"1294_1","1294_1st",Acer saccharum,8,2970.00000000000000000000
"1072_4",prunus_serotina_1072_4,Prunus serotina,3,11.0400000000000000000000
"3392_2",carya_ovata_3392_2,Carya ovata,12,1757.16345698748
"1078_3",parthenocissus_quinquefolia_1078_3,Parthenocissus quinquefolia,2,2.40500000000000000000000
"1188_2",celastrus_orbiculatus_1188_2,Celastrus orbiculatus,1,1.37410000000000000000
Large-062_1,frangula_alnus_Large-062_1,Frangula alnus,4,265.0800000000000000000000
Large-014_1,acer_rubrum_Large-014_1,Acer rubrum,4,176.720000000000000000
"1293_3",cornus_florida_1293_3,Cornus florida,1,0.196300000000000000000000
"1040_3",robinia_pseudoacacia_1040_3,Robinia pseudoacacia,11,2066.92449263143
"1355_1","1355_1st",Fraxinus pennsylvanica,7,397.600000000000000000000
VIBI013_1,VIBI013_1st,Tsuga canadensis,2,14.43000000000000000000000
"1009_3",standing_dead_1009_3,Standing dead,6,721.500000000000000000000
"1159_2",crataegus_sp.1_1159_2,Crataegus sp.,4,88.360000000000000000
"1125_3",fagus_grandifolia_1125_3,Fagus grandifolia,4,88.360000000000000000
"1194_1","1194_1st",Parthenocissus quinquefolia,1,0.39260000000000000000
"1223_2",standing_dead_1223_2,Standing dead,5,1104.300000000000000000000
VIBI52_1,prunus_serotina_VIBI52_1,Prunus serotina,4,176.7200000000000000000000
"1325_2",ulmus_rubra_1325_2,Ulmus rubra,4,44.1800000000000000000000
"1296_3",acer_saccharum_1296_3,Acer saccharum,5,245.40000000000000000
"1295_2",standing_dead_1295_2,Standing dead,9,830.00000000000000000000
"3449_2",acer_rubrum_3449_2,Acer rubrum,3,11.0400000000000000000000
"1094_3",platanus_occidentalis_1094_3,Platanus occidentalis,1,0.39260000000000000000
VIBI006_1,VIBI006_1st,Acer rubrum,7,397.600000000000000000000
Large-078_1,acer_rubrum_Large-078_1,Acer rubrum,12,2860.61646063435
"1091_1","1091_1st",Acer saccharum,7,397.600000000000000000000
"1141_1","1141_1st",Pyrus malus,5,122.700000000000000000000
"1034_3",quercus_rubra_1034_3,Quercus rubra,5,122.700000000000000000000
LtoL-025_1,fraxinus_pennsylvanica_LtoL-025_1,Fraxinus pennsylvanica,6,240.500000000000000000000
"1376_3",quercus_rubra_1376_3,Quercus rubra,9,830.00000000000000000000
"1269_1","1269_1st",Hamamelis virginiana,3,11.0400000000000000000000
"1153_2",standing_dead_1153_2,Standing dead,2,14.43000000000000000000000
"1253_2",liriodendron_tulipifera_1253_2,Liriodendron tulipifera,7,795.200000000000000000000
"1191_2",carya_cordiformis_1191_2,Carya cordiformis,3,11.0400000000000000000000
VIBI52_1,acer_saccharum_VIBI52_1,Acer saccharum,8,594.00000000000000000000
SC295CCGrant_2,prunus_serotina_SC295CCGrant_2,Prunus serotina,6,240.500000000000000000000
"3367_1","3367_1st",Juglans nigra,10,1104.00000000000000000000
"3903A_12",acer_saccharum_3903A_12,Acer saccharum,10,3312.00000000000000000000
X-Large-38a_1,standing_dead_X-Large-38a_1,Standing dead,4,176.7200000000000000000000
"3397_2",tilia_americana_3397_2,Tilia americana,5,122.700000000000000000000
"3484_2","3484_2nd",Quercus velutina,7,397.600000000000000000000
"1479_1",carya_ovata_1479_1,Carya ovata,5,3067.500000000000000000000
Large-067_1,acer_rubrum_Large-067_1,Acer rubrum,5,245.400000000000000000000
"1289_1","1289_1st",Acer saccharum,5,1227.000000000000000000000
"1243_1","1243_1st",Fagus grandifolia,9,1660.00000000000000000000
Large-093_1,acer_saccharum_Large-093_1,Acer saccharum,3,77.2800000000000000000000
Large-072_1,celastrus_orbiculatus_Large-072_1,Celastrus orbiculatus,4,44.1800000000000000000000
"1254_3",ulmus_americana_1254_3,Ulmus americana,7,795.20000000000000000
"1157_3",standing_dead_1157_3,Standing dead,3,77.2800000000000000000000
"1371_1","1371_1st",Fraxinus americana,5,122.700000000000000000000
"1275_3",carpinus_caroliniana_1275_3,Carpinus caroliniana,3,77.2800000000000000000000
"1194_1","1194_1st",Ulmus americana,3,22.0800000000000000000000
"1381_2",juglans_nigra_1381_2,Juglans nigra,11,3685.28453220168
"1128_1","1128_1st",Vitis aestivalis,1,0.196300000000000000000000
"1366_1","1366_1st",Parthenocissus quinquefolia,3,11.0400000000000000000000
"1125_3",picea_abies_1125_3,Picea abies,10,3312.00000000000000000000
VIBI84_1,parthenocissus_quinquefolia_VIBI84_1,Parthenocissus quinquefolia,1,1.17780000000000000000
"1261_3",fagus_grandifolia_1261_3,Fagus grandifolia,2,221.2600000000000000000
"1291_3",pinus_resinosa_1291_3,Pinus resinosa,6,240.500000000000000000000
Large-043_1,standing_dead_Large-043_1,Standing dead,1,0.196300000000000000000000
"1065_2","1065_2nd",Ligustrum vulgare,5,122.700000000000000000000
"3483_2",acer_negundo_3483_2,Acer negundo,5,1349.700000000000000000000
VIBI68_1,liriodendron_tulipifera_VIBI68_1,Liriodendron tulipifera,14,4403.02064382243
"3435_3",lonicera_maackii_3435_3,Lonicera maackii,0,0.196300000000000000000000
VIBI55_1,tilia_americana_VIBI55_1,Tilia americana,3,11.0400000000000000000000
"1206_2",liriodendron_tulipifera_1206_2,Liriodendron tulipifera,11,11764.09424443031
"3495_1","3495_1st",Berberis thunbergii,0,0.196300000000000000000000
wetlandflipflopB_2,standing_dead_wetlandflipflopB_2,Standing dead,2,40.88500000000000000000000
"1173_3",juglans_nigra_1173_3,Juglans nigra,7,397.600000000000000000000
"3435_1","3435_1st",Acer rubrum,5,245.400000000000000000000
"1155_1","1155_1st",Fagus grandifolia,5,368.100000000000000000000
"1070_3",acer_saccharinum_1070_3,Acer saccharinum,12,3771.86682573461
"1080_2","1080_2nd",Aesculus glabra,3,11.0400000000000000000000
"3395_1","3395_1st",Robinia pseudoacacia,6,1202.50000000000000000
X-Large-010_1,toxicodendron_radicans_X-Large-010_1,Toxicodendron radicans,3,11.0400000000000000000000
Large-038_1,platanus_occidentalis_Large-038_1,Platanus occidentalis,11,3431.56950949777
"1125_2",liriodendron_tulipifera_1125_2,Liriodendron tulipifera,12,3663.79603845112
"1314_1","1314_1st",Standing dead,1,1.374100000000000000000000
"1113_2",prunus_serotina_1113_2,Prunus serotina,2,2.40500000000000000000000
"1116_2",cornus_racemosa_1116_2,Cornus racemosa,3,11.0400000000000000000000
"1017_3",carya_ovata_1017_3,Carya ovata,8,1782.00000000000000000000
"3452_2",acer_platanoides_3452_2,Acer platanoides,8,594.00000000000000000000
"3903a_10",acer_saccharum_3903a_10,Acer saccharum,3,33.1200000000000000000000
"3903A_11",standing_dead_3903A_11,Standing dead,11,14633.60141227432
"1090_3",prunus_serotina_1090_3,Prunus serotina,9,1660.00000000000000000000
"1191_3",carya_ovata_1191_3,Carya ovata,10,2208.00000000000000000000
"1174_2",standing_dead_1174_2,Standing dead,1,4.122300000000000000000000
"1198_1","1198_1st",Carya cordiformis,9,1660.00000000000000000000
"1292_1","1292_1st",Standing dead,2,24.05000000000000000000000
"1240_1","1240_1st",Liriodendron tulipifera,4,44.1800000000000000000000
"1155_3",standing_dead_1155_3,Standing dead,3,11.0400000000000000000000
"1008_2","1008_2nd",Prunus serotina,7,397.600000000000000000000
"2859_1",parthenocissus_quinquefolia_2859_1,Parthenocissus quinquefolia,2,2.40500000000000000000000
"1162_3",carya_cordiformis_1162_3,Carya cordiformis,2,2.40500000000000000000000
"1341_2",vitis_riparia_1341_2,Vitis riparia,1,0.196300000000000000000000
"1309_2",fagus_grandifolia_1309_2,Fagus grandifolia,1,1.177800000000000000000000
"3903_11",vitis_aestivalis_3903_11,Vitis aestivalis,0,0.196300000000000000000000
"1256_3",acer_rubrum_1256_3,Acer rubrum,9,830.00000000000000000000
"1198_3",rosa_multiflora_1198_3,Rosa multiflora,0,5.889000000000000000000000
Large-040_1,crataegus_sp.2_Large-040_1,Crataegus sp.,2,4.8100000000000000000
"1086_1","1086_1st",Fraxinus pennsylvanica,4,44.1800000000000000000000
"3422_1","3422_1st",Carya cordiformis,4,132.540000000000000000
"1031_2","1031_2nd",Ulmus rubra,7,397.600000000000000000000
"1253_2",acer_saccharum_1253_2,Acer saccharum,2,62.53000000000000000000000
"1268_2",acer_negundo_1268_2,Acer negundo,5,122.700000000000000000000
"1104_2",pyrus_sp.2_1104_2,Pyrus sp.,0,0.39260000000000000000
"1195_2",acer_rubrum_1195_2,Acer rubrum,7,397.600000000000000000000
"1358_2",ulmus_americana_1358_2,Ulmus americana,6,240.500000000000000000000
"3452_2",quercus_alba_3452_2,Quercus alba,11,2596.72267773281
VIBI047_1,VIBI047_1st,Lindera benzoin,2,9.6200000000000000000
"1064_2","1064_2nd",Acer saccharum,9,830.00000000000000000000
Large-039_1,standing_dead_Large-039_1,Standing dead,2,60.12500000000000000000000
"3394_2",fraxinus_pennsylvanica_3394_2,Fraxinus pennsylvanica,5,122.700000000000000000000
"1018_2","1018_2nd",Acer nigrum,4,265.0800000000000000000000
"1240_1","1240_1st",Fraxinus sp.,2,2.40500000000000000000000
VIBI037_1,VIBI037_1st,Acer nigrum,2,12.02500000000000000000000
"1012_3",fagus_grandifolia_1012_3,Fagus grandifolia,1,1.766700000000000000000000
"1189_1","1189_1st",Carpinus caroliniana,4,132.5400000000000000000000
"1240_2",acer_saccharum_1240_2,Acer saccharum,1,2.944500000000000000000000
"3372_3",standing_dead_3372_3,Standing dead,4,44.1800000000000000000000
VIBI003_1,VIBI003_1st,Standing dead,7,397.600000000000000000000
"1347_1","1347_1st",Acer saccharum,4,44.1800000000000000000000
"1200_2",standing_dead_1200_2,Standing dead,5,122.700000000000000000000
"1387_2",acer_saccharum_1387_2,Acer saccharum,6,1202.500000000000000000000
"1092_2","1092_2nd",Quercus alba,8,594.00000000000000000000
"1017_2","1017_2nd",Standing dead,3,33.1200000000000000000000
"1367_1","1367_1st",Liriodendron tulipifera,9,1660.00000000000000000000
"1003_2","1003_2nd",Fagus grandifolia,5,368.100000000000000000000
Large-068_1,acer_rubrum_Large-068_1,Acer rubrum,12,1647.48260346902
ExclosureMS_inside_spring2019_2,ulmus_americana_ExclosureMS_inside_spring2019_2,Ulmus americana,10,1104.00000000000000000000
"1045_1","1045_1st",Cornus florida,4,44.1800000000000000000000
"1195_1","1195_1st",Acer saccharinum,11,2587.69845283538
"3455_3",quercus_palustris_3455_3,Quercus palustris,11,3954.36194298165
"1394_2",cornus_florida_1394_2,Cornus florida,3,33.1200000000000000000000
"3386_2","3386_2nd",Parthenocissus quinquefolia,2,2.40500000000000000000000
"1359_2",parthenocissus_quinquefolia_1359_2,Parthenocissus quinquefolia,1,1.37410000000000000000
"3369_2","3369_2nd",Acer rubrum,4,441.8000000000000000000000
"3440_2",prunus_serotina_3440_2,Prunus serotina,12,2454.22003496598
"1284_3",fagus_grandifolia_1284_3,Fagus grandifolia,11,7282.72227982735
"1243_2",standing_dead_1243_2,Standing dead,1,3.140800000000000000000000
"1381_2",ulmus_rubra_1381_2,Ulmus rubra,5,122.700000000000000000000
"1025_2","1025_2nd",Standing dead,0,0.588900000000000000000000
"1144_2",acer_saccharum_1144_2,Acer saccharum,2,72.15000000000000000000000
"3386_2","3386_2nd",Acer saccharum,9,1660.00000000000000000000
"1383_1","1383_1st",Ulmus americana,5,122.700000000000000000000
"1013_2","1013_2nd",Carya cordiformis,7,397.600000000000000000000
"3425_2",standing_dead_3425_2,Standing dead,7,397.600000000000000000000
"3483_2",acer_negundo_3483_2,Acer negundo,1,7.263100000000000000000000
X-Large-38_1,quercus_rubra_X-Large-38_1,Quercus rubra,11,25311.43501885454
"1064_2","1064_2nd",Fagus grandifolia,3,88.3200000000000000000000
"1325_2",crataegus_sp.1_1325_2,Crataegus sp.,1,0.785200000000000000000000
"1293_3",carya_ovata_1293_3,Carya ovata,5,122.700000000000000000000
"1306_2",prunus_serotina_1306_2,Prunus serotina,5,245.400000000000000000000
"1241_1","1241_1st",Viburnum recognitum,0,4.711200000000000000000000
Large-031_1,ulmus_americana_Large-031_1,Ulmus americana,5,245.400000000000000000000
"3425_2",acer_saccharum_3425_2,Acer saccharum,8,1188.00000000000000000000
"1218_2",tilia_americana_1218_2,Tilia americana,10,1104.00000000000000000000
"1343_1","1343_1st",Rhamnus frangula,3,66.240000000000000000
"1155_1","1155_1st",Berberis thunbergii,0,0.392600000000000000000000
"1177_3",standing_dead_1177_3,Standing dead,2,4.81000000000000000000000
"1009_2","1009_2nd",Rubus occidentalis,1,0.196300000000000000000000
"1047_3",liriodendron_tulipifera_1047_3,Liriodendron tulipifera,13,2264.84482980759
"1080_3",ulmus_americana_1080_3,Ulmus americana,8,1188.00000000000000000000
"1061_1","1061_1st",Prunus serotina,5,122.700000000000000000000
"1261_1","1261_1st",Fagus grandifolia,2,175.56500000000000000000000
X-Large-032_1,acer_rubrum_X-Large-032_1,Acer rubrum,6,2164.500000000000000000000
SC256CCGrant_1,liriodendron_tulipifera_SC256CCGrant_1,Liriodendron tulipifera,6,240.500000000000000000000
"1072_4",ulmus_americana_1072_4,Ulmus americana,6,240.500000000000000000000
VIBI80_1,acer_rubrum_VIBI80_1,Acer rubrum,4,88.360000000000000000
"1200_3",acer_rubrum_1200_3,Acer rubrum,9,830.00000000000000000000
"1287_1","1287_1st",Liriodendron tulipifera,7,397.600000000000000000000
"1090_3",acer_saccharum_1090_3,Acer saccharum,11,5032.08530279562
"3409_2","3409_2nd",Acer rubrum,6,481.000000000000000000000
"1143_3",acer_rubrum_1143_3,Acer rubrum,9,1660.00000000000000000000
Exclosure102Be_outside_fall2015_1,rosa_multiflora_Exclosure102Be_outside_fall2015_1,Rosa multiflora,1,0.196300000000000000000000
VIBI60_1,acer_saccharum_VIBI60_1,Acer saccharum,5,122.700000000000000000000
VIBI86_1,prunus_serotina_VIBI86_1,Prunus serotina,5,122.700000000000000000000
"1527_1",standing_dead_1527_1,Standing dead,9,830.00000000000000000000
"3417_1","3417_1st",Carpinus caroliniana,4,44.1800000000000000000000
"1210_2",acer_rubrum_1210_2,Acer rubrum,7,1988.000000000000000000000
"1148_1","1148_1st",Pyrus coronaria,2,2.40500000000000000000000
"1092_3",quercus_rubra_1092_3,Quercus rubra,4,44.1800000000000000000000
"1167_3",toxicodendron_radicans_1167_3,Toxicodendron radicans,1,19.826300000000000000000000
"3980_2","3980_2nd",Prunus cerasus,5,122.700000000000000000000
"3417_3",acer_saccharum_3417_3,Acer saccharum,9,830.00000000000000000000
"1076_2","1076_2nd",Ulmus americana,5,368.100000000000000000000
"1291_2",quercus_muehlenbergii_1291_2,Quercus muehlenbergii,4,88.3600000000000000000000
"1310_1","1310_1st",Acer nigrum,2,9.62000000000000000000000
VIBI014_1,VIBI014_1st,Lindera benzoin,1,0.196300000000000000000000
"3367_3",crataegus_sp.2_3367_3,Crataegus sp.,3,44.160000000000000000
Large-111_1,celastrus_orbiculatus_Large-111_1,Celastrus orbiculatus,1,25.12640000000000000000
"1389_2",liriodendron_tulipifera_1389_2,Liriodendron tulipifera,10,1104.00000000000000000000
"3435_1","3435_1st",Rosa multiflora,0,0.785200000000000000000000
"1375_1","1375_1st",Acer saccharum,5,981.600000000000000000000
"2071_1",vitis_aestivalis_2071_1,Vitis aestivalis,2,4.8100000000000000000
"3479_1","3479_1st",Platanus occidentalis,11,11293.47581094093
"1070_3",acer_rubrum_1070_3,Acer rubrum,4,132.540000000000000000
"1283_1","1283_1st",Fraxinus sp.,8,594.00000000000000000000
"1272_3",acer_saccharum_1272_3,Acer saccharum,9,2490.00000000000000000000
"1322_2",rosa_multiflora_1322_2,Rosa multiflora,0,0.196300000000000000000000
"1339_2",fraxinus_pennsylvanica_1339_2,Fraxinus pennsylvanica,6,240.500000000000000000000
"1201_3",acer_saccharum_1201_3,Acer saccharum,4,176.7200000000000000000000
"1098_2","1098_2nd",Prunus serotina,5,122.700000000000000000000
"1005_1","1005_1st",Standing dead,6,481.000000000000000000000
"1140_3",acer_saccharum_1140_3,Acer saccharum,11,3057.40582445522
"1237_2",acer_saccharum_1237_2,Acer saccharum,4,44.1800000000000000000000
"4235_8",berberis_thunbergii_4235_8,Berberis thunbergii,0,0.196300000000000000000000
"1077_2","1077_2nd",Carpinus caroliniana,4,88.3600000000000000000000
"1292_3",ostrya_virginiana_1292_3,Ostrya virginiana,3,33.1200000000000000000000
VIBI62_1,acer_rubrum_VIBI62_1,Acer rubrum,10,1104.00000000000000000000
"3398_1","3398_1st",Acer saccharum,12,2018.85812503151
"1365_2",rubus_pensilvanicus_1365_2,Rubus pensilvanicus,0,0.196300000000000000000000
"1261_1","1261_1st",Fagus grandifolia,3,220.8000000000000000000000
"1166_1","1166_1st",Toxicodendron radicans,1,0.196300000000000000000000
"3444_2",acer_saccharum_3444_2,Acer saccharum,9,830.00000000000000000000
VIBI020_1,VIBI020_1st,Fagus grandifolia,2,64.9350000000000000000
"1135a_3",acer_rubrum_1135a_3,Acer rubrum,4,530.1600000000000000000000
Large-127_1,cornus_florida_Large-127_1,Cornus florida,1,0.78520000000000000000
"3367_2","3367_2nd",Juglans nigra,7,795.20000000000000000
VIBI77_1,acer_saccharum_VIBI77_1,Acer saccharum,11,1555.2847130678
X-Large-38a_1,smilax_rotundifolia_X-Large-38a_1,Smilax rotundifolia,1,1.57040000000000000000
"1149_1","1149_1st",Acer saccharum,6,481.000000000000000000000
"3449_2",fagus_grandifolia_3449_2,Fagus grandifolia,5,1595.100000000000000000000
"1144_1","1144_1st",Ostrya virginiana,3,44.1600000000000000000000
"1371_1","1371_1st",Crataegus sp.,4,132.5400000000000000000000
