"","simp_plot","oldgrowthscore","cwd_diversity_score","depressions_score","basalarea_score","largetreefrequency_score","x","y","community"
"106",1127,7,3,1,2,1,-81.5519,41.38357,"Beech - Mixed Hardwood (Hemlock) Forest"
"107",1128,7,3,1,2,1,-81.43421,41.41417,"Oak - Mixed Hardwood"
"108",1129,7,2,1,2,2,-81.42603,41.57619,"Oak - Mixed Hardwood"
"109",1131,7,3,0,2,2,-81.83716,41.33519,"Sugar Maple - Mixed Hardwood Forest"
"110",1132,4,2,0,2,0,-81.54099,41.38888,"Oak - Mixed Hardwood"
"116",1140,8,2,2,3,1,-81.42417,41.55653,"Oak - Mixed Hardwood"
"118",1143,6,2,0,3,1,-81.57004,41.37996,"Oak - Mixed Hardwood"
"119",1144,5,2,1,2,0,-81.40151,41.43963,"Beech - Mixed Hardwood (Hemlock) Forest"
"120",1145,6,2,1,2,1,-81.42487,41.58353,"Beech - Mixed Hardwood (Hemlock) Forest"
"121",1146,7,3,1,2,1,-81.71417,41.2065,"Sugar Maple - Mixed Hardwood Forest"
"122",1147,5,2,1,2,0,-81.79859,41.29803,"Beech - Mixed Hardwood (Hemlock) Forest"
"124",1149,7,3,1,2,1,-81.69746,41.22356,"Sugar Maple - Mixed Hardwood Forest"
"125",1150,8,3,1,2,2,-81.82706,41.47685,"Sugar Maple - Mixed Hardwood Forest"
"126",1151,5,2,1,2,0,-81.78927,41.29711,"Sugar Maple - Mixed Hardwood Forest"
"127",1153,6,3,1,1,1,-81.60925,41.31002,"Beech - Mixed Hardwood (Hemlock) Forest"
"128",1154,5,3,0,1,1,-81.84174,41.43103,"Sugar Maple - Mixed Hardwood Forest"
"129",1155,7,2,1,3,1,-81.50477,41.37782,"Oak - Mixed Hardwood"
"131",1157,5,2,0,2,1,-81.58851,41.29049,"Oak - Mixed Hardwood"
"132",1159,6,2,1,2,1,-81.56056,41.37484,"Oak - Mixed Hardwood"
"139",1169,5,2,1,1,1,-81.61401,41.32252,"Sugar Maple - Mixed Hardwood Forest"
"140",1171,6,2,1,2,1,-81.58605,41.35514,"Sugar Maple - Mixed Hardwood Forest"
"143",1175,7,2,1,2,2,-81.55584,41.37352,"Beech - Mixed Hardwood (Hemlock) Forest"
"144",1176,9,3,1,3,2,-81.42776,41.41706,"Beech - Mixed Hardwood (Hemlock) Forest"
"149",1182,6,1,1,3,1,-81.88283,41.41235,"Oak - Mixed Hardwood"
"150",1183,6,2,1,2,1,-81.46382,41.41385,"Sugar Maple - Mixed Hardwood Forest"
"154",1189,8,2,1,3,2,-81.58905,41.30574,"Sugar Maple - Mixed Hardwood Forest"
"156",1191,7,3,1,2,1,-81.55486,41.38575,"Sugar Maple - Mixed Hardwood Forest"
"157",1192,7,2,1,3,1,-81.43392,41.41889,"Beech - Mixed Hardwood (Hemlock) Forest"
"161",1197,6,2,1,2,1,-81.72663,41.21344,"Beech - Mixed Hardwood (Hemlock) Forest"
"163",1199,7,3,1,2,1,-81.79028,41.30526,"Sugar Maple - Mixed Hardwood Forest"
"164",1200,6,2,1,2,1,-81.71295,41.44497,"Oak - Mixed Hardwood"
"168",1206,7,2,0,3,2,-81.82822,41.44907,"Sugar Maple - Mixed Hardwood Forest"
"170",1208,4,2,0,1,1,-81.40211,41.43795,"Sugar Maple - Mixed Hardwood Forest"
"171",1209,9,3,1,3,2,-81.42573,41.57985,"Oak - Mixed Hardwood"
"172",1210,5,2,1,2,0,-81.71303,41.20594,"Sugar Maple - Mixed Hardwood Forest"
"176",1215,6,2,1,2,1,-81.79561,41.29944,"Sugar Maple - Mixed Hardwood Forest"
"177",1216,7,3,1,2,1,-81.61985,41.37006,"Sugar Maple - Mixed Hardwood Forest"
"179",1218,8,3,1,3,1,-81.85329,41.42996,"Sugar Maple - Mixed Hardwood Forest"
"182",1221,5,3,1,1,0,-81.59135,41.29065,"Oak - Mixed Hardwood"
"183",1222,8,3,1,3,1,-81.88471,41.39321,"Sugar Maple - Mixed Hardwood Forest"
"185",1224,6,2,1,2,1,-81.41545,41.41759,"Oak - Mixed Hardwood"
"187",1229,7,3,1,2,1,-81.70977,41.22605,"Oak - Mixed Hardwood"
"190",1232,5,2,0,2,1,-81.41906,41.5524,"Sugar Maple - Mixed Hardwood Forest"
"191",1233,5,3,1,1,0,-81.61209,41.31934,"Oak - Mixed Hardwood"
"193",1236,6,3,1,2,0,-81.41928,41.42325,"Sugar Maple - Mixed Hardwood Forest"
"194",1237,8,3,1,3,1,-81.59824,41.30669,"Beech - Mixed Hardwood (Hemlock) Forest"
"195",1238,5,2,1,2,0,-81.86656,41.38535,"Beech - Mixed Hardwood (Hemlock) Forest"
"196",1240,7,2,1,3,1,-81.4238,41.41478,"Oak - Mixed Hardwood"
"198",1242,6,2,1,2,1,-81.96624,41.4176,"Sugar Maple - Mixed Hardwood Forest"
"199",1243,6,2,1,2,1,-81.75891,41.30612,"Beech - Mixed Hardwood (Hemlock) Forest"
"202",1248,6,2,1,2,1,-81.42982,41.56488,"Beech - Mixed Hardwood (Hemlock) Forest"
"205",1252,7,2,1,3,1,-81.41674,41.42056,"Oak - Mixed Hardwood"
"210",1257,6,2,0,3,1,-81.41979,41.5869,"Beech - Mixed Hardwood (Hemlock) Forest"
"211",1258,9,3,1,3,2,-81.94497,41.41858,"Beech - Mixed Hardwood (Hemlock) Forest"
"213",1261,7,3,1,2,1,-81.70239,41.2172,"Beech - Mixed Hardwood (Hemlock) Forest"
"214",1262,9,3,1,3,2,-81.8542,41.42294,"Sugar Maple - Mixed Hardwood Forest"
"216",1264,7,3,1,2,1,-81.42652,41.552,"Beech - Mixed Hardwood (Hemlock) Forest"
"221",1269,6,3,0,2,1,-81.59778,41.31123,"Beech - Mixed Hardwood (Hemlock) Forest"
"222",1271,6,2,1,2,1,-81.55364,41.38806,"Oak - Mixed Hardwood"
"223",1272,6,2,1,2,1,-81.4332,41.41477,"Oak - Mixed Hardwood"
"224",1273,7,3,1,2,1,-81.43143,41.56975,"Beech - Mixed Hardwood (Hemlock) Forest"
"225",1274,5,2,1,2,0,-81.70934,41.21223,"Sugar Maple - Mixed Hardwood Forest"
"226",1275,7,2,1,3,1,-81.80279,41.29992,"Oak - Mixed Hardwood"
"230",1281,4,2,1,1,0,-81.61399,41.31289,"Sugar Maple - Mixed Hardwood Forest"
"231",1282,5,2,1,2,0,-81.84201,41.4378,"Sugar Maple - Mixed Hardwood Forest"
"233",1284,7,3,1,2,1,-81.43165,41.55812,"Beech - Mixed Hardwood (Hemlock) Forest"
"234",1286,8,3,1,2,2,-81.82693,41.44014,"Oak - Mixed Hardwood"
"237",1289,7,3,1,2,1,-81.42635,41.58569,"Beech - Mixed Hardwood (Hemlock) Forest"
"239",1292,7,2,1,2,2,-81.60068,41.42444,"Oak - Mixed Hardwood"
"240",1293,5,2,1,2,0,-81.71315,41.22407,"Sugar Maple - Mixed Hardwood Forest"
"241",1294,6,2,1,2,1,-81.87309,41.4157,"Beech - Mixed Hardwood (Hemlock) Forest"
"242",1295,4,2,1,1,0,-81.47918,41.39699,"Sugar Maple - Mixed Hardwood Forest"
"243",1296,5,3,0,2,0,-81.42871,41.54783,"Sugar Maple - Mixed Hardwood Forest"
"244",1297,8,3,1,2,2,-81.61149,41.32401,"Sugar Maple - Mixed Hardwood Forest"
"245",1298,8,2,1,3,2,-81.84109,41.43949,"Sugar Maple - Mixed Hardwood Forest"
"246",1299,8,3,1,2,2,-81.59308,41.34437,"Sugar Maple - Mixed Hardwood Forest"
"247",1300,7,2,1,3,1,-81.4221,41.42369,"Oak - Mixed Hardwood"
"248",1301,8,3,1,2,2,-81.59385,41.3068,"Beech - Mixed Hardwood (Hemlock) Forest"
"249",1302,5,3,0,1,1,-81.86494,41.38078,"Oak - Mixed Hardwood"
"250",1304,7,3,1,2,1,-81.42466,41.41853,"Beech - Mixed Hardwood (Hemlock) Forest"
"254",1309,6,3,1,2,0,-81.70901,41.21985,"Oak - Mixed Hardwood"
"255",1310,9,3,1,3,2,-81.87632,41.41267,"Sugar Maple - Mixed Hardwood Forest"
"256",1312,8,3,1,2,2,-81.42865,41.56815,"Beech - Mixed Hardwood (Hemlock) Forest"
"257",1313,6,2,0,3,1,-81.6686,41.3019,"Oak - Mixed Hardwood"
"260",1316,6,2,1,2,1,-81.41673,41.42686,"Sugar Maple - Mixed Hardwood Forest"
"261",1317,7,2,1,3,1,-81.72942,41.21097,"Sugar Maple - Mixed Hardwood Forest"
"263",1319,5,2,0,2,1,-81.55237,41.3793,"Sugar Maple - Mixed Hardwood Forest"
"266",1322,6,2,1,2,1,-81.70638,41.20947,"Sugar Maple - Mixed Hardwood Forest"
"268",1325,4,2,0,2,0,-81.72513,41.21915,"Sugar Maple - Mixed Hardwood Forest"
"271",1328,6,3,0,2,1,-81.71154,41.44419,"Oak - Mixed Hardwood"
"272",1329,7,3,1,2,1,-81.60254,41.3155,"Sugar Maple - Mixed Hardwood Forest"
"274",1332,7,3,1,2,1,-81.42514,41.561,"Beech - Mixed Hardwood (Hemlock) Forest"
"278",1338,6,3,1,2,0,-81.69582,41.2096,"Sugar Maple - Mixed Hardwood Forest"
"280",1340,7,3,1,2,1,-81.5353,41.55702,"Sugar Maple - Mixed Hardwood Forest"
"281",1341,6,2,1,2,1,-81.67989,41.21982,"Sugar Maple - Mixed Hardwood Forest"
"283",1347,7,2,1,3,1,-81.51488,41.37918,"Oak - Mixed Hardwood"
"284",1348,6,3,1,1,1,-81.41543,41.55791,"Sugar Maple - Mixed Hardwood Forest"
"285",1349,5,2,1,2,0,-81.59264,41.29964,"Oak - Mixed Hardwood"
"286",1350,5,3,1,1,0,-81.87952,41.39285,"Sugar Maple - Mixed Hardwood Forest"
"288",1352,10,3,1,3,3,-81.41735,41.41743,"Beech - Mixed Hardwood (Hemlock) Forest"
"289",1353,8,3,1,3,1,-81.42648,41.58121,"Sugar Maple - Mixed Hardwood Forest"
"290",1354,6,2,1,2,1,-81.69848,41.20764,"Sugar Maple - Mixed Hardwood Forest"
"291",1355,4,2,1,1,0,-81.82167,41.33292,"Sugar Maple - Mixed Hardwood Forest"
"292",1357,6,2,1,2,1,-81.69064,41.21815,"Sugar Maple - Mixed Hardwood Forest"
"296",1361,7,3,1,2,1,-81.59908,41.3069,"Oak - Mixed Hardwood"
"297",1362,6,3,0,2,1,-81.84056,41.44581,"Sugar Maple - Mixed Hardwood Forest"
"302",1368,6,2,1,2,1,-81.41761,41.41452,"Oak - Mixed Hardwood"
"303",1369,6,3,0,2,1,-81.42401,41.57111,"Sugar Maple - Mixed Hardwood Forest"
"304",1370,7,3,1,2,1,-81.72102,41.20956,"Beech - Mixed Hardwood (Hemlock) Forest"
"309",1375,6,2,1,2,1,-81.78996,41.30802,"Beech - Mixed Hardwood (Hemlock) Forest"
"313",1380,7,2,1,2,2,-81.41762,41.56388,"Sugar Maple - Mixed Hardwood Forest"
"315",1383,5,2,1,2,0,-81.57443,41.37752,"Sugar Maple - Mixed Hardwood Forest"
"319",1387,5,3,1,1,0,-81.77905,41.30517,"Sugar Maple - Mixed Hardwood Forest"
"321",1389,6,2,0,2,2,-81.70518,41.22529,"Sugar Maple - Mixed Hardwood Forest"
"322",1390,8,2,1,3,2,-81.89082,41.41101,"Sugar Maple - Mixed Hardwood Forest"
"327",1399,8,3,1,2,2,-81.55326,41.38343,"Beech - Mixed Hardwood (Hemlock) Forest"
"329",3362,6,3,0,2,1,-81.59023,41.30528,"Sugar Maple - Mixed Hardwood Forest"
"331",3365,6,2,1,2,1,-81.79678,41.30568,"Oak - Mixed Hardwood"
"334",3369,7,3,1,2,1,-81.42592,41.56239,"Beech - Mixed Hardwood (Hemlock) Forest"
"335",3370,5,3,0,1,1,-81.71687,41.21482,"Beech - Mixed Hardwood (Hemlock) Forest"
"336",3372,7,3,1,2,1,-81.7111,41.44445,"Oak - Mixed Hardwood"
"337",3374,8,3,1,3,1,-81.69714,41.30125,"Beech - Mixed Hardwood (Hemlock) Forest"
"338",3376,6,2,1,2,1,-81.52866,41.55004,"Beech - Mixed Hardwood (Hemlock) Forest"
"343",3382,6,2,1,2,1,-81.60212,41.30404,"Oak - Mixed Hardwood"
"344",3385,4,1,1,2,0,-81.43456,41.5671,"Oak - Mixed Hardwood"
"345",3386,6,2,1,2,1,-81.69980052,41.22247933,"Sugar Maple - Mixed Hardwood Forest"
"349",3392,5,2,1,2,0,-81.79791,41.31856,"Oak - Mixed Hardwood"
"350",3394,5,3,1,1,0,-81.59142,41.29612,"Beech - Mixed Hardwood (Hemlock) Forest"
"351",3395,4,2,1,1,0,-81.82555,41.33567,"Sugar Maple - Mixed Hardwood Forest"
"352",3396,8,3,1,2,2,-81.56619,41.37279,"Sugar Maple - Mixed Hardwood Forest"
"353",3397,7,2,1,3,1,-81.79543,41.30117,"Oak - Mixed Hardwood"
"354",3398,8,2,1,3,2,-81.61312,41.32058,"Beech - Mixed Hardwood (Hemlock) Forest"
"356",3400,6,3,0,2,1,-81.54556,41.38406,"Beech - Mixed Hardwood (Hemlock) Forest"
"359",3406,7,2,1,2,2,-81.69532,41.20557,"Beech - Mixed Hardwood (Hemlock) Forest"
"360",3409,7,2,1,3,1,-81.43246,41.57292,"Oak - Mixed Hardwood"
"364",3413,7,2,1,3,1,-81.4212,41.55064,"Oak - Mixed Hardwood"
"366",3415,7,3,1,2,1,-81.85544,41.42155,"Sugar Maple - Mixed Hardwood Forest"
"367",3417,8,2,1,3,2,-81.42229,41.42276,"Oak - Mixed Hardwood"
"368",3418,5,2,1,2,0,-81.72787,41.21688,"Oak - Mixed Hardwood"
"373",3425,8,2,1,3,2,-81.43165,41.57682,"Oak - Mixed Hardwood"
"376",3433,8,2,1,3,2,-81.42271,41.56847,"Oak - Mixed Hardwood"
"378",3437,4,2,0,2,0,-81.40145,41.43691,"Sugar Maple - Mixed Hardwood Forest"
"381",3443,7,2,1,3,1,-81.9314,41.48655,"Oak - Mixed Hardwood"
"382",3444,7,2,1,3,1,-81.56512,41.37965,"Sugar Maple - Mixed Hardwood Forest"
"383",3449,6,2,1,2,1,-81.423,41.5546,"Beech - Mixed Hardwood (Hemlock) Forest"
"387",3457,8,3,1,2,2,-81.42545,41.58551,"Beech - Mixed Hardwood (Hemlock) Forest"
"390",3463,6,2,0,3,1,-81.8387,41.44384,"Oak - Mixed Hardwood"
"392",3479,9,3,1,3,2,-81.86826,41.41875,"Sugar Maple - Mixed Hardwood Forest"
"395",3495,7,3,1,2,1,-81.88403,41.41047,"Sugar Maple - Mixed Hardwood Forest"
"396",3499,7,3,0,3,1,-81.8787,41.39193,"Sugar Maple - Mixed Hardwood Forest"
"399",3596,8,3,1,2,2,-81.69773,41.38441,"Oak - Mixed Hardwood"
"401",3668,6,2,1,2,1,-81.69404,41.3795,"Oak - Mixed Hardwood"
"402",3732,6,2,0,3,1,-81.69424,41.38906,"Oak - Mixed Hardwood"
